blockNumber,timeStamp,hash,nonce,blockHash,from,to,contractAddress,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
11708878,1611365881,0xc473d9e553d526aabdcf2cb9daec703c3cfd0c202ab9eb34db9ea9594341eb63,36,0x0ea3079edf592f2b5a42f6a774895db46d0c4407bfb5cf404e6868efa3fe9e3a,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0x8f746ce8dc29d765447604f59729224d0098e80b,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,7149583319757379866,Digg,DIGG,18,36,170017,55000000000,128920,6743951,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13352804
11708930,1611366612,0x5872e9fa39f3e5a1f53825269eca1601b6efd9a150893ab1cf2ddaf25be40357,145,0x5e574022e2d8af48d28ea926c7ddb5630d0a6145a66df8a0164eaad3a66487c9,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0xd6216fc19db775df9774a6e33526131da7d19a2c,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,196700000000000000,Digg,DIGG,18,30,161927,86000000000,121923,1475663,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",13352752
11708938,1611366720,0xa88687ef6e52ea2450cb6a6572de758fac030406bbc4ae8830c310474fff54ed,147,0xc7b5671ac1636673d2df963cf64b423b3b6a66fbadec5367836a9ade31b0abb2,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0x034a5f8678455ea078021e7a5b34ab7ef210674e,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,117211944063558619,Digg,DIGG,18,17,170030,86000000000,128932,1736853,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13352744
11708947,1611366769,0x0243ce8208236728c5272563b83ce9c087df570adfdd1404bc3e4f5e1082aca7,149,0xf8386980dd21adeedbf3275becdb25b2657cc18d9de8a79d2a1f7d6707407b3f,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,154930431738682220,Digg,DIGG,18,44,170030,86000000000,128932,2441771,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13352735
11708952,1611366827,0x8e4877ac3146dd2b4a59a74c22d55742714eccb26c90df74b7f3bf0a6d4cf321,151,0xdbe6c34b5d211a88185be57f2919282bc449ee696753f534196394de81d3e1bf,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0x6061a574230d149ddfaf7e7527a7d4b6e03d6f8e,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,130000000000000000,Digg,DIGG,18,107,178414,86000000000,136911,6183238,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",13352730
11708956,1611366899,0x09d6417f5e3f13d0daf10d5bf38d1753f7ae5a59f085c6b993f8aa23febc6957,153,0x7c5486694cfc40d29243c9d2e038990f82e84b68655874d9de7d1efb0ffce709,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0x6fdabcd4c1b926310f5a8c4c00efefba3c8dbef4,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,200000000000000000,Digg,DIGG,18,25,178401,86000000000,136899,2737027,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",13352726
11708959,1611366929,0x221249f7b51ea02a019efe96d9dd9d8cfb935df5beec9229ee8ce794f7db6ace,155,0xdf681ee48f5d6520b8afc40e153790a56647410a9787b623af972ebf78ec4141,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0x3205389af4ffccaf3eb713db63adcfbedc68fcfa,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,102831058409800329,Digg,DIGG,18,62,156602,87000000000,128932,2911307,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13352723
11708961,1611366996,0x36e66bf0409c6d2429f7d49eaa3de72a5a69b21fca8336423c5cec25027e0115,157,0xd3a2a50ba2d970d40cd7ce59ec5f2115895555f1936cb300c8638877b31e8f76,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0x50a9be97ea8cfb0f5a92312b4b966a469bc2ab7b,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,80976255314890595,Digg,DIGG,18,72,170017,87000000000,128920,4493435,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13352721
11708963,1611367039,0xdee2021ba1cf62e6b35bd96d095458452b4e275133420049b995d8be3de346b3,159,0xfb3709d144fce18c71d845f89538d7d827960fd4a3c559e282e274279b24b0c8,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0xdd709cae362972cb3b92dcead77127f7b8d58202,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,132720000000000000,Digg,DIGG,18,17,178414,87000000000,136911,1007123,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",13352719
11708971,1611367145,0xaeb62c84ed4e1fb4f610e3e79db7881f152d10590cd6854c2d28702963a17eac,161,0xa33b40a8ebdacbf32c29508582d94c62bf97fca9d168ec5ce9fb151e74a47139,0x0d8a2d6c1dda5be4bd1c26c8cb9d081e799db61e,0x4d1d758f0966c6e6de873958e62788300c13f60e,0x010496d8f3269ee9b05060bdf40c2d66e83e61dd,136667277242628202,Digg,DIGG,18,19,170030,86000000000,128932,1277204,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13352711
