blockNumber,timeStamp,hash,nonce,blockHash,from,to,contractAddress,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12580991,1622983170,0xfad01158c7b5ac0f486c4766dfef36d1453cad530ebb8479f5690d15475ad8bc,123,0x097114479716e96a7e0cf7fb2f770bcc6460fd556134af7d808486177b312b58,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x26e079a7c76badeb2da3e56393bb07a81c0a3288,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,11939457335357317249757048811,Busa Inu,BINU,18,119,179367,11000000000,123910,9166374,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480683
12581001,1622983260,0x3646e077f5673f4d4e261554ff2222d9c61b5373f73c9211386b0a528ee7cc3b,45,0x2445c4db469276235f9e023ecb9a084c3a7628bb4793c20b97559cbe118dd256,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x44dc64c8a277f37bafa1d6f3bfa465423e4d4172,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,27709908751193770370447683039,Busa Inu,BINU,18,165,433329,12100000000,302800,12350014,deprecated,0x5c11d795,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480673
12581023,1622983577,0x62c8a1b405f62edae6b6c1539559e339422f57815c5b6a1edd3f435624e6c754,125,0xf4aed77cfcf97b8f19578f5409cc2b3f870dbbcd0a4b2c9031b1c1824ddbe0b5,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x40b2061e3bb302a7e17ec88a0d08a1afeea2ab28,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,278036408002726734451780162,Busa Inu,BINU,18,127,179353,11000000000,123898,10925019,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480651
12581038,1622983779,0xa8ed0bab67b7f8bd1cff35d3a01c147da172c2c446e826d859c289e1d6db79cf,38,0xbaa778026245de3a528ed020fc496b8d928f93a170b68e9b9b036546eb43478b,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x2ec4e58c7fa27735616c82a229f18cc298db4f7f,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,277871290808825724735737561,Busa Inu,BINU,18,111,179353,12100000000,123898,6640424,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480636
12581069,1622984236,0x6e9191d5fd3adede7c717c19d7215243d064d60949819a2bbd6ed57e12f0f294,122,0x2ccc138933af00702e0fd69eb7b0abe66130c3ae93736c10645495761c20068c,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x2d72013019f9a1a1a5533a6f00e42d8ba0608cf9,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,8260188283328161364816979085,Busa Inu,BINU,18,90,179353,11000000000,123898,9144194,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480605
12581075,1622984322,0xb3a26e3c90967452750b1b93c2f07508d715d6235c871506df657eae31874a0d,52,0x0cbe8678c1dec2fc5a8f7e6782c824165d79e0fb1f42ee8073e4a795d987a5d4,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x07ed421dce8a1c378cb0c5749dff4b93f5739f01,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,6772864886720794773512691600,Busa Inu,BINU,18,50,179367,12000000000,123910,5106436,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480599
12581079,1622984346,0x27eaa26cd9f2ffe45a17e16a859cfacfb960e8db5af9e964344ddf8576dae0c2,17,0x650eb928b86ab8ac08cb9fced9348cdceef1e3851dbea810d710843dd8903346,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x6073347ccb662bd0bca9c95717c79ffd2f026ab3,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1342706007858812803415057503,Busa Inu,BINU,18,55,179367,12000000000,123910,3367913,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480595
12581101,1622984647,0x2a51bab3c8e9bb559ca4dd1fe4657c6888244247c1b2ceba083ee1ffd76e8505,8,0x46e849a02aa5d7d7edded9c620a437a4fe15d5b0402102948e49895dedc47f0e,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x4b1bca431c4e40aab1cbdd70660651cbd1b99c78,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,2149239332531368431128657616,Busa Inu,BINU,18,101,179367,12000000000,123910,6730180,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480573
12581141,1622985133,0xcfe4bc73f5fd0ceaabaf468b5fa74caef3bd7c07f2494e9e5fb18e61e56f86e4,52,0x79d8e04fbc7f38cbae4f02760669dc25bd36d4c1a8057643c9cf975f0e5d56aa,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x6cfe0f1cfc110be97c4d5cc838f26c8f5ca08f17,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,5198970416437308780928899679,Busa Inu,BINU,18,101,179367,11000000000,123910,8195811,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480533
12581203,1622985927,0x14dfc1206e8f02ab532c4442ab1b663e88fee73abda618cf04e72bc990656276,5,0x87d90020470c8370c6975b2bea96d65aa1122ab320c89db4d0e39cd98740b1d8,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xd95acc8cdeca045fb20d1db6e58454b8eb63655e,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,2631184107405113438081621148,Busa Inu,BINU,18,70,179367,12000000000,123910,6221629,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480471
