No.,Chain,address,Losses,Type,Root Causes,Sources,URL
63,ETH,0xceaf9dfe40f9c0ba586f2990c4b33c4c98a53d8b,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
64,ETH,0xf1a355a72e7e90a0de8b1f28e50079361cb4a620,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
65,ETH,0xe90d751093cf626cd9b89dc06a5002ae55ba0fcd,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
66,ETH,0x631f4ee65c42e2d745d83cb667a956ac049f6adf,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
67,ETH,0x09fc992fd3a99826c691d0cd51a04b8168c4e3a6,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
68,ETH,0xc6ccdb23fb9c9d4fe43fc7073622f95ab35fe5c2,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
69,ETH,0xb35bbac9157cd7552da93ac8785c64550663fe4a,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
70,ETH,0x1f1983336a06f3bda44a2dbce301bb773eadd0e1,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
71,ETH,0xa5e4e662b1e12b4f31f646410521db792be585d7,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
72,ETH,0x3c302e18d126a7f1271f2793e5749109a2028ff0,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
73,ETH,0x62677ebd650f0f4a674d098a37b29f32a956b438,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
74,ETH,0xb86be98652bddf968ac21912d727d3675a05e23e,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
75,ETH,0xce8fa7adf559e4ad0f9788b227d4911136b11c1c,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
76,ETH,0x692b6db503d5eae98f8674c5437d27b5559e39ca,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
77,ETH,0x4f7d317737b4256fb4ac361b2162461da6b6b667,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
78,ETH,0x5f799c46ee8eaa7907c4d32008fcb28fcb2e2331,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
79,ETH,0x4811c687173f6e3a9efbe96febad3ecc14e8098b,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
80,ETH,0x003950eb83350938f09cdd36f495ba3bb5403715,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
81,ETH,0xfe88bc8913d4b2ae8e0399714a0fdbd331d1ce5f,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
82,ETH,0x46c1a3f8188cef89d1c001d9ccd7d2c0d58da864,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
83,ETH,0x9f0d326539d45f3924c824b8da11441cd4c2d7a1,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
84,ETH,0x3b38bab9289f00411bb34a28cebb53a2010483ec,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
85,ETH,0x83ec4ff9692341cedce8a0c1d625345b5d7265bc,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
86,ETH,0x212964dde24a034e95f35564fd04533c33a62f3c,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
87,ETH,0xf9f60ada5c8651adfd1162a47f3248e0d0f1ac3a,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
88,ETH,0x25a04c13d78b02d753b28b9e72c3d41d9fffb8a2,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
89,ETH,0x4fa8fcbdd4f428a55897eec24d67aa0b6e1af0de,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
90,ETH,0xe509f52f2692ca38a30bac906e5060297472d134,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
91,ETH,0xcb445f0716d571e5010f9ca5509090abbca890eb,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
92,ETH,0x373193768a01d3f2fbe268539a1099c2510229f9,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
93,ETH,0xb633ef8adc856b7ab4328c833c860f869152618e,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
94,ETH,0x42d89ba81f3aafafce29620df663055b4c070617,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
95,ETH,0x0d83a1fbc4c212754dd1e453c67fd5f79a2db6d5,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
96,ETH,0x4bcb1a8e5c31c44876889b98c55e2f8310894f19,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
